Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Juventus FC,38,26,5,7,76:43,33,83,IT1,2020
2,Inter Milan,38,24,10,4,81:36,45,82,IT1,2020
3,Atalanta BC,38,23,9,6,98:48,50,78,IT1,2020
4,SS Lazio,38,24,6,8,79:42,37,78,IT1,2020
5,AS Roma,38,21,7,10,77:51,26,70,IT1,2020
6,AC Milan,38,19,9,10,63:46,17,66,IT1,2020
7,SSC Napoli,38,18,8,12,61:50,11,62,IT1,2020
8,US Sassuolo,38,14,9,15,69:63,6,51,IT1,2020
9,Hellas Verona,38,12,13,13,47:51,-4,49,IT1,2020
10,ACF Fiorentina,38,12,13,13,51:48,3,49,IT1,2020
11,Parma Calcio 1913,38,14,7,17,56:57,-1,49,IT1,2020
12,Bologna FC 1909,38,12,11,15,52:65,-13,47,IT1,2020
13,Udinese Calcio,38,12,9,17,37:51,-14,45,IT1,2020
14,Cagliari Calcio,38,11,12,15,52:56,-4,45,IT1,2020
15,UC Sampdoria,38,12,6,20,48:65,-17,42,IT1,2020
16,Torino FC,38,11,7,20,46:68,-22,40,IT1,2020
17,Genoa CFC,38,10,9,19,47:73,-26,39,IT1,2020
18,US Lecce,38,9,8,21,52:85,-33,35,IT1,2020
19,Brescia Calcio,38,6,7,25,35:79,-44,25,IT1,2020
20,SPAL,38,5,5,28,27:77,-50,20,IT1,2020
