Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,VfL Bochum,34,21,4,9,66:39,27,67,L2,2021
2,SpVgg Greuther Fürth,34,18,10,6,69:44,25,64,L2,2021
3,Holstein Kiel,34,18,8,8,57:35,22,62,L2,2021
4,Hamburger SV,34,16,10,8,71:44,27,58,L2,2021
5,Fortuna Düsseldorf,34,16,8,10,55:46,9,56,L2,2021
6,Karlsruher SC,34,14,10,10,51:44,7,52,L2,2021
7,SV Darmstadt 98,34,15,6,13,63:55,8,51,L2,2021
8,1.FC Heidenheim 1846,34,15,6,13,49:49,0,51,L2,2021
9,SC Paderborn 07,34,12,11,11,53:45,8,47,L2,2021
10,FC St. Pauli,34,13,8,13,51:56,-5,47,L2,2021
11,1.FC Nuremberg,34,11,11,12,46:51,-5,44,L2,2021
12,FC Erzgebirge Aue,34,12,8,14,44:53,-9,44,L2,2021
13,Hannover 96,34,12,6,16,53:51,2,42,L2,2021
14,SSV Jahn Regensburg,34,9,11,14,37:50,-13,38,L2,2021
15,SV Sandhausen,34,10,4,20,41:60,-19,34,L2,2021
16,VfL Osnabrück,34,9,6,19,35:58,-23,33,L2,2021
17,Eintracht Braunschweig,34,7,10,17,30:59,-29,31,L2,2021
18,Würzburger Kickers,34,6,7,21,37:69,-32,25,L2,2021
