Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Excelsior Rotterdam,38,22,9,7,68:25,43,75,NL2,2006
2,FC Volendam,38,19,10,9,59:42,17,67,NL2,2006
3,VVV-Venlo,38,19,9,10,52:34,18,66,NL2,2006
4,Helmond Sport,38,19,7,12,62:55,7,64,NL2,2006
5,De Graafschap Doetinchem,38,17,11,10,63:51,12,62,NL2,2006
6,FC Emmen,38,18,6,14,68:56,12,60,NL2,2006
7,HFC Haarlem,38,17,8,13,57:51,6,59,NL2,2006
8,FC Den Bosch,39,15,12,12,62:54,8,57,NL2,2006
9,AGOVV Apeldoorn,38,17,5,16,64:62,2,56,NL2,2006
10,FC Zwolle,38,15,10,13,57:51,6,55,NL2,2006
11,TOP Oss,38,15,10,13,51:53,-2,55,NL2,2006
12,FC Dordrecht,38,14,11,13,58:45,13,53,NL2,2006
13,Cambuur-Leeuwarden bvo,39,13,14,12,51:51,0,53,NL2,2006
14,MVV Maastricht,38,13,12,13,53:52,1,51,NL2,2006
15,SC Veendam,38,14,9,15,54:60,-6,51,NL2,2006
16,FC Eindhoven,38,12,6,20,53:62,-9,42,NL2,2006
17,Stormvogels Telstar,38,9,13,16,37:53,-16,40,NL2,2006
18,Go Ahead Eagles,38,8,11,19,45:70,-25,35,NL2,2006
19,FC Omniworld,38,7,8,23,50:87,-37,29,NL2,2006
20,Fortuna Sittard,38,2,11,25,35:85,-50,17,NL2,2006
