Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Real Madrid,38,29,6,3,106:41,65,93,ES1,2017
2,FC Barcelona,38,28,6,4,116:37,79,90,ES1,2017
3,Atlético de Madrid,38,23,9,6,70:27,43,78,ES1,2017
4,Sevilla FC,38,21,9,8,69:49,20,72,ES1,2017
5,Villarreal CF,38,19,10,9,56:33,23,67,ES1,2017
6,Real Sociedad,38,19,7,12,59:53,6,64,ES1,2017
7,Athletic Bilbao,38,19,6,13,53:43,10,63,ES1,2017
8,RCD Espanyol Barcelona,38,15,11,12,49:50,-1,56,ES1,2017
9,Deportivo Alavés,38,14,13,11,41:43,-2,55,ES1,2017
10,SD Eibar,38,15,9,14,56:51,5,54,ES1,2017
11,Málaga CF,38,12,10,16,49:55,-6,46,ES1,2017
12,Valencia CF,38,13,7,18,56:65,-9,46,ES1,2017
13,Celta de Vigo,38,13,6,19,53:69,-16,45,ES1,2017
14,UD Las Palmas,38,10,9,19,53:74,-21,39,ES1,2017
15,Real Betis Balompié,38,10,9,19,41:64,-23,39,ES1,2017
16,Deportivo de La Coruña,38,8,12,18,43:61,-18,36,ES1,2017
17,CD Leganés,38,8,11,19,36:55,-19,35,ES1,2017
18,Sporting Gijón,38,7,10,21,42:72,-30,31,ES1,2017
19,CA Osasuna,38,4,10,24,40:94,-54,22,ES1,2017
20,Granada CF,38,4,8,26,30:82,-52,20,ES1,2017
