Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Feyenoord Rotterdam,34,25,7,2,81:30,51,82,NL1,2023
2,PSV Eindhoven,34,23,6,5,89:40,49,75,NL1,2023
3,Ajax Amsterdam,34,20,9,5,86:38,48,69,NL1,2023
4,AZ Alkmaar,34,20,7,7,68:35,33,67,NL1,2023
5,Twente Enschede FC,34,18,10,6,66:27,39,64,NL1,2023
6,Sparta Rotterdam,34,17,8,9,60:37,23,59,NL1,2023
7,FC Utrecht,34,15,9,10,55:50,5,54,NL1,2023
8,SC Heerenveen,34,12,10,12,44:50,-6,46,NL1,2023
9,RKC Waalwijk,34,11,8,15,50:64,-14,41,NL1,2023
10,Vitesse Arnhem,34,10,10,14,45:50,-5,40,NL1,2023
11,Go Ahead Eagles,34,10,10,14,46:56,-10,40,NL1,2023
12,NEC Nijmegen,34,8,15,11,42:45,-3,39,NL1,2023
13,Fortuna Sittard,34,10,6,18,39:62,-23,36,NL1,2023
14,FC Volendam,34,10,6,18,42:71,-29,36,NL1,2023
15,Excelsior Rotterdam,34,9,5,20,32:71,-39,32,NL1,2023
16,FC Emmen,34,6,10,18,33:65,-32,28,NL1,2023
17,SC Cambuur Leeuwarden,34,5,4,25,26:69,-43,19,NL1,2023
18,FC Groningen,34,4,6,24,31:75,-44,18,NL1,2023
