Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Gil Vicente FC,30,15,10,5,55:38,17,55,PO2,2011
2,CD Feirense,30,17,4,9,41:31,10,55,PO2,2011
3,CD Trofense,30,15,9,6,41:27,14,54,PO2,2011
4,UD Oliveirense,30,12,9,9,36:35,1,45,PO2,2011
5,FC Arouca,30,11,10,9,47:41,6,43,PO2,2011
6,Leixões SC,30,10,12,8,35:27,8,42,PO2,2011
7,Desportivo Aves (- 2020),30,10,10,10,35:31,4,40,PO2,2011
8,Moreirense FC,30,10,10,10,36:41,-5,40,PO2,2011
9,GD Estoril Praia,30,9,11,10,36:31,5,38,PO2,2011
10,CD Santa Clara,30,10,8,12,26:29,-3,38,PO2,2011
11,SC Freamunde,30,8,13,9,37:39,-2,37,PO2,2011
12,FC Penafiel,30,9,9,12,37:44,-7,36,PO2,2011
13,CF Os Belenenses,30,8,11,11,33:36,-3,35,PO2,2011
14,SC Covilhã,30,9,5,16,32:48,-16,32,PO2,2011
15,Varzim SC,30,6,13,11,38:47,-9,31,PO2,2011
16,CD Fátima,30,5,8,17,29:49,-20,23,PO2,2011
