Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,VfL Wolfsburg,34,21,6,7,80:41,39,69,L1,2009
2,Bayern Munich,34,20,7,7,71:42,29,67,L1,2009
3,VfB Stuttgart,34,19,7,8,63:43,20,64,L1,2009
4,Hertha BSC,34,19,6,9,48:41,7,63,L1,2009
5,Hamburger SV,34,19,4,11,49:47,2,61,L1,2009
6,Borussia Dortmund,34,15,14,5,60:37,23,59,L1,2009
7,TSG 1899 Hoffenheim,34,15,10,9,63:49,14,55,L1,2009
8,FC Schalke 04,34,14,8,12,47:35,12,50,L1,2009
9,Bayer 04 Leverkusen,34,14,7,13,59:46,13,49,L1,2009
10,SV Werder Bremen,34,12,9,13,64:50,14,45,L1,2009
11,Hannover 96,34,10,10,14,49:69,-20,40,L1,2009
12,1. FC Köln,34,11,6,17,35:50,-15,39,L1,2009
13,Eintracht Frankfurt,34,8,9,17,39:60,-21,33,L1,2009
14,VfL Bochum,34,7,11,16,39:55,-16,32,L1,2009
15,Borussia Mönchengladbach,34,8,7,19,39:62,-23,31,L1,2009
16,FC Energie Cottbus,34,8,6,20,30:57,-27,30,L1,2009
17,Karlsruher SC,34,8,5,21,30:54,-24,29,L1,2009
18,Arminia Bielefeld,34,4,16,14,29:56,-27,28,L1,2009
