Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Leixões SC,30,18,6,6,45:21,24,60,PO2,2007
2,Vitória Guimarães SC,30,16,7,7,44:20,24,55,PO2,2007
3,Rio Ave FC,30,15,8,7,44:37,7,53,PO2,2007
4,CD Santa Clara,30,15,5,10,34:31,3,50,PO2,2007
5,Gondomar SC,30,13,6,11,33:30,3,45,PO2,2007
6,Gil Vicente FC,30,12,9,9,27:27,0,45,PO2,2007
7,CD Feirense,30,11,11,8,38:26,12,44,PO2,2007
8,Varzim SC,30,12,8,10,34:37,-3,44,PO2,2007
9,FC Penafiel,30,10,11,9,23:27,-4,41,PO2,2007
10,SC Olhanense,30,10,10,10,29:31,-2,40,PO2,2007
11,GD Estoril Praia,30,10,7,13,30:35,-5,37,PO2,2007
12,CD Trofense,30,9,9,12,27:26,1,36,PO2,2007
13,FC Vizela,30,9,7,14,29:32,-3,34,PO2,2007
14,Portimonense SC,30,7,9,14,28:42,-14,30,PO2,2007
15,CD Olivais e Moscavide,30,7,6,17,26:42,-16,27,PO2,2007
16,GD Chaves,30,3,7,20,16:43,-27,16,PO2,2007
17,CF Os Belenenses,0,0,0,0,0:0,0,0,PO2,2007
