Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Empoli FC ,42,24,13,5,88:49,39,85,IT2,2018
2,Parma Calcio 1913,42,21,9,12,57:37,20,72,IT2,2018
3,Frosinone Calcio,42,19,15,8,65:47,18,72,IT2,2018
4,US Palermo,42,18,17,7,59:39,20,71,IT2,2018
5,Venezia FC,42,17,16,9,56:42,14,67,IT2,2018
6,AS Cittadella,42,18,12,12,61:48,13,66,IT2,2018
7,FC Bari 1908,42,18,13,11,59:48,11,65,IT2,2018
8,AC Perugia Calcio,42,16,12,14,67:58,9,60,IT2,2018
9,Foggia Calcio,42,16,10,16,66:68,-2,58,IT2,2018
10,Spezia Calcio,42,13,14,15,46:45,1,53,IT2,2018
11,Carpi FC 1909,42,12,16,14,32:46,-14,52,IT2,2018
12,US Salernitana 1919,42,11,18,13,51:58,-7,51,IT2,2018
13,US Cremonese,42,9,21,12,48:47,1,48,IT2,2018
14,US Avellino 1912,42,11,15,16,49:60,-11,48,IT2,2018
15,Brescia Calcio,42,11,15,16,41:52,-11,48,IT2,2018
16,Delfino Pescara 1936,42,11,15,16,50:64,-14,48,IT2,2018
17,Ascoli Picchio,42,11,13,18,40:60,-20,46,IT2,2018
18,Virtus Entella,42,10,14,18,41:54,-13,44,IT2,2018
19,Novara Calcio 1908,42,10,14,18,42:52,-10,44,IT2,2018
20,FC Pro Vercelli 1892,42,9,13,20,47:70,-23,40,IT2,2018
21,Ternana Unicusano Calcio,42,7,16,19,62:77,-15,37,IT2,2018
22,AC Cesena,42,11,17,14,55:61,-6,35,IT2,2018
