Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,SSC Napoli,38,28,6,4,77:28,49,90,IT1,2023
2,SS Lazio,38,22,8,8,60:30,30,74,IT1,2023
3,Inter Milan,38,23,3,12,71:42,29,72,IT1,2023
4,AC Milan,38,20,10,8,64:43,21,70,IT1,2023
5,Atalanta BC,38,19,7,12,66:48,18,64,IT1,2023
6,AS Roma,38,18,9,11,50:38,12,63,IT1,2023
7,Juventus FC,38,22,6,10,56:33,23,62,IT1,2023
8,ACF Fiorentina,38,15,11,12,53:43,10,56,IT1,2023
9,Bologna FC 1909,38,14,12,12,53:49,4,54,IT1,2023
10,Torino FC,38,14,11,13,42:41,1,53,IT1,2023
11,AC Monza,38,14,10,14,48:52,-4,52,IT1,2023
12,Udinese Calcio,38,11,13,14,47:48,-1,46,IT1,2023
13,US Sassuolo,38,12,9,17,47:61,-14,45,IT1,2023
14,FC Empoli,38,10,13,15,37:49,-12,43,IT1,2023
15,US Salernitana 1919,38,9,15,14,48:62,-14,42,IT1,2023
16,US Lecce,38,8,12,18,33:46,-13,36,IT1,2023
17,Spezia Calcio,38,6,13,19,31:62,-31,31,IT1,2023
18,Hellas Verona,38,7,10,21,31:59,-28,31,IT1,2023
19,US Cremonese,38,5,12,21,36:69,-33,27,IT1,2023
20,UC Sampdoria,38,3,10,25,24:71,-47,19,IT1,2023
