Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Heracles Almelo,38,27,4,7,103:42,61,85,NL2,2023
2,PEC Zwolle,38,27,4,7,99:43,56,85,NL2,2023
3,Almere City FC,38,21,7,10,58:41,17,70,NL2,2023
4,Willem II Tilburg,38,19,11,8,68:40,28,68,NL2,2023
5,MVV Maastricht,38,18,5,15,65:65,0,59,NL2,2023
6,NAC Breda,38,18,5,15,64:64,0,59,NL2,2023
7,VVV-Venlo,38,16,10,12,56:51,5,58,NL2,2023
8,FC Eindhoven,38,16,10,12,58:54,4,58,NL2,2023
9,SC Telstar,38,14,11,13,39:52,-13,53,NL2,2023
10,De Graafschap Doetinchem,38,15,7,16,64:54,10,52,NL2,2023
11,AZ Alkmaar U21,38,14,9,15,60:58,2,51,NL2,2023
12,ADO Den Haag,38,13,12,13,51:57,-6,51,NL2,2023
13,Ajax Amsterdam U21,38,12,10,16,69:72,-3,46,NL2,2023
14,PSV Eindhoven U21,38,12,9,17,59:63,-4,45,NL2,2023
15,Roda JC Kerkrade,38,12,7,19,49:59,-10,43,NL2,2023
16,Helmond Sport,38,11,10,17,39:57,-18,43,NL2,2023
17,TOP Oss,38,10,7,21,45:76,-31,37,NL2,2023
18,FC Dordrecht,38,9,8,21,41:68,-27,35,NL2,2023
19,FC Den Bosch,38,10,5,23,46:85,-39,35,NL2,2023
20,FC Utrecht U21,38,7,7,24,33:65,-32,28,NL2,2023
