Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Arminia Bielefeld,34,18,14,2,65:30,35,68,L2,2020
2,VfB Stuttgart,34,17,7,10,62:41,21,58,L2,2020
3,1.FC Heidenheim 1846,34,15,10,9,45:36,9,55,L2,2020
4,Hamburger SV,34,14,12,8,62:46,16,54,L2,2020
5,SV Darmstadt 98,34,13,13,8,48:43,5,52,L2,2020
6,Hannover 96,34,13,9,12,54:49,5,48,L2,2020
7,FC Erzgebirge Aue,34,13,8,13,46:48,-2,47,L2,2020
8,VfL Bochum,34,11,13,10,53:51,2,46,L2,2020
9,SpVgg Greuther Fürth,34,11,11,12,46:45,1,44,L2,2020
10,SV Sandhausen,34,10,13,11,43:45,-2,43,L2,2020
11,Holstein Kiel,34,11,10,13,53:56,-3,43,L2,2020
12,SSV Jahn Regensburg,34,11,10,13,50:56,-6,43,L2,2020
13,VfL Osnabrück,34,9,13,12,46:48,-2,40,L2,2020
14,FC St. Pauli,34,9,12,13,41:50,-9,39,L2,2020
15,Karlsruher SC,34,8,13,13,45:56,-11,37,L2,2020
16,1.FC Nuremberg,34,8,13,13,45:58,-13,37,L2,2020
17,SV Wehen Wiesbaden,34,9,7,18,45:65,-20,34,L2,2020
18,SG Dynamo Dresden,34,8,8,18,32:58,-26,32,L2,2020
