Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Manchester City,38,27,5,6,102:37,65,86,GB1,2014
2,Liverpool FC,38,26,6,6,101:50,51,84,GB1,2014
3,Chelsea FC,38,25,7,6,71:27,44,82,GB1,2014
4,Arsenal FC,38,24,7,7,68:41,27,79,GB1,2014
5,Everton FC,38,21,9,8,61:39,22,72,GB1,2014
6,Tottenham Hotspur,38,21,6,11,55:51,4,69,GB1,2014
7,Manchester United,38,19,7,12,64:43,21,64,GB1,2014
8,Southampton FC,38,15,11,12,54:46,8,56,GB1,2014
9,Stoke City,38,13,11,14,45:52,-7,50,GB1,2014
10,Newcastle United,38,15,4,19,43:59,-16,49,GB1,2014
11,Crystal Palace,38,13,6,19,33:48,-15,45,GB1,2014
12,Swansea City,38,11,9,18,54:54,0,42,GB1,2014
13,West Ham United,38,11,7,20,40:51,-11,40,GB1,2014
14,Sunderland AFC,38,10,8,20,41:60,-19,38,GB1,2014
15,Aston Villa,38,10,8,20,39:61,-22,38,GB1,2014
16,Hull City,38,10,7,21,38:53,-15,37,GB1,2014
17,West Bromwich Albion,38,7,15,16,43:59,-16,36,GB1,2014
18,Norwich City,38,8,9,21,28:62,-34,33,GB1,2014
19,Fulham FC,38,9,5,24,40:85,-45,32,GB1,2014
20,Cardiff City,38,7,9,22,32:74,-42,30,GB1,2014
