Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,RKC Waalwijk,34,22,7,5,85:40,45,73,NL2,2011
2,FC Zwolle,34,20,10,4,69:27,42,69,NL2,2011
3,Helmond Sport,34,17,8,9,61:43,18,59,NL2,2011
4,SC Veendam,34,15,12,7,54:44,10,53,NL2,2011
5,SC Cambuur Leeuwarden,34,15,9,10,64:52,12,51,NL2,2011
6,FC Volendam,34,14,9,11,56:50,6,51,NL2,2011
7,Go Ahead Eagles,34,13,11,10,58:43,15,50,NL2,2011
8,FC Den Bosch,34,11,14,9,56:47,9,47,NL2,2011
9,Sparta Rotterdam,34,12,7,15,71:65,6,43,NL2,2011
10,MVV Maastricht,34,14,8,12,44:50,-6,42,NL2,2011
11,FC Dordrecht,34,12,9,13,52:56,-4,41,NL2,2011
12,FC Eindhoven,34,10,10,14,41:49,-8,40,NL2,2011
13,FC Emmen,34,8,11,15,48:64,-16,35,NL2,2011
14,SC Telstar,34,8,10,16,43:54,-11,34,NL2,2011
15,AGOVV Apeldoorn,34,11,7,16,54:77,-23,31,NL2,2011
16,Fortuna Sittard,34,7,7,20,42:70,-28,26,NL2,2011
17,RBC Roosendaal,34,7,8,19,38:66,-28,26,NL2,2011
18,Almere City FC,34,8,7,19,45:84,-39,25,NL2,2011
