Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Bayern Munich,34,28,4,2,80:17,63,88,L1,2016
2,Borussia Dortmund,34,24,6,4,82:34,48,78,L1,2016
3,Bayer 04 Leverkusen,34,18,6,10,56:40,16,60,L1,2016
4,Borussia Mönchengladbach,34,17,4,13,67:50,17,55,L1,2016
5,FC Schalke 04,34,15,7,12,51:49,2,52,L1,2016
6,1.FSV Mainz 05,34,14,8,12,46:42,4,50,L1,2016
7,Hertha BSC,34,14,8,12,42:42,0,50,L1,2016
8,VfL Wolfsburg,34,12,9,13,47:49,-2,45,L1,2016
9,1. FC Köln,34,10,13,11,38:42,-4,43,L1,2016
10,Hamburger SV,34,11,8,15,40:46,-6,41,L1,2016
11,FC Ingolstadt 04,34,10,10,14,33:42,-9,40,L1,2016
12,FC Augsburg,34,9,11,14,42:52,-10,38,L1,2016
13,SV Werder Bremen,34,10,8,16,50:65,-15,38,L1,2016
14,SV Darmstadt 98,34,9,11,14,38:53,-15,38,L1,2016
15,TSG 1899 Hoffenheim,34,9,10,15,39:54,-15,37,L1,2016
16,Eintracht Frankfurt,34,9,9,16,34:52,-18,36,L1,2016
17,VfB Stuttgart,34,9,6,19,50:75,-25,33,L1,2016
18,Hannover 96,34,7,4,23,31:62,-31,25,L1,2016
