Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Real Madrid,38,26,8,4,80:31,49,86,ES1,2022
2,FC Barcelona,38,21,10,7,68:38,30,73,ES1,2022
3,Atlético de Madrid,38,21,8,9,65:43,22,71,ES1,2022
4,Sevilla FC,38,18,16,4,53:30,23,70,ES1,2022
5,Real Betis Balompié,38,19,8,11,62:40,22,65,ES1,2022
6,Real Sociedad,38,17,11,10,40:37,3,62,ES1,2022
7,Villarreal CF,38,16,11,11,63:37,26,59,ES1,2022
8,Athletic Bilbao,38,14,13,11,43:36,7,55,ES1,2022
9,Valencia CF,38,11,15,12,48:53,-5,48,ES1,2022
10,CA Osasuna,38,12,11,15,37:51,-14,47,ES1,2022
11,Celta de Vigo,38,12,10,16,43:43,0,46,ES1,2022
12,Rayo Vallecano,38,11,9,18,39:50,-11,42,ES1,2022
13,Elche CF,38,11,9,18,40:52,-12,42,ES1,2022
14,RCD Espanyol Barcelona,38,10,12,16,40:53,-13,42,ES1,2022
15,Getafe CF,38,8,15,15,33:41,-8,39,ES1,2022
16,RCD Mallorca,38,10,9,19,36:63,-27,39,ES1,2022
17,Cádiz CF,38,8,15,15,35:51,-16,39,ES1,2022
18,Granada CF,38,8,14,16,44:61,-17,38,ES1,2022
19,Levante UD,38,8,11,19,51:76,-25,35,ES1,2022
20,Deportivo Alavés,38,8,7,23,31:65,-34,31,ES1,2022
