Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,PSV Eindhoven,34,26,6,2,71:23,48,84,NL1,2006
2,AZ Alkmaar,34,23,5,6,78:32,46,74,NL1,2006
3,Feyenoord Rotterdam,34,21,8,5,79:34,45,71,NL1,2006
4,Ajax Amsterdam,34,18,6,10,66:41,25,60,NL1,2006
5,FC Groningen,34,16,8,10,46:43,3,56,NL1,2006
6,FC Utrecht,34,16,7,11,48:44,4,55,NL1,2006
7,SC Heerenveen,34,14,8,12,63:58,5,50,NL1,2006
8,Roda JC Kerkrade,34,15,5,14,57:54,3,50,NL1,2006
9,Twente Enschede FC,34,13,8,13,44:36,8,47,NL1,2006
10,NEC Nijmegen,34,13,8,13,43:43,0,47,NL1,2006
11,Vitesse Arnhem,34,13,5,16,52:54,-2,44,NL1,2006
12,RKC Waalwijk,34,11,6,17,48:58,-10,39,NL1,2006
13,Heracles Almelo,34,11,6,17,35:58,-23,39,NL1,2006
14,Sparta Rotterdam,34,10,7,17,34:50,-16,37,NL1,2006
15,ADO Den Haag,34,10,5,19,36:62,-26,35,NL1,2006
16,NAC Breda,34,8,9,17,45:66,-21,33,NL1,2006
17,Willem II Tilburg,34,7,7,20,45:66,-21,28,NL1,2006
18,RBC Roosendaal,34,1,6,27,22:90,-68,9,NL1,2006
