Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Juventus FC,38,26,8,4,67:27,40,86,IT1,2005
2,AC Milan,38,23,10,5,63:28,35,79,IT1,2005
3,FC Internazionale,38,18,18,2,65:37,28,72,IT1,2005
4,Udinese Calcio,38,17,11,10,56:40,16,62,IT1,2005
5,UC Sampdoria,38,17,10,11,42:29,13,61,IT1,2005
6,US Palermo,38,12,17,9,48:44,4,53,IT1,2005
7,FC Messina Peloro,38,12,12,14,44:52,-8,48,IT1,2005
8,AS Roma,38,11,12,15,55:58,-3,45,IT1,2005
9,AS Livorno,38,11,12,15,49:60,-11,45,IT1,2005
10,Reggina Calcio,38,10,14,14,36:45,-9,44,IT1,2005
11,US Lecce,38,10,14,14,66:73,-7,44,IT1,2005
12,Cagliari Calcio,38,10,14,14,51:60,-9,44,IT1,2005
13,SS Lazio,38,11,11,16,48:53,-5,44,IT1,2005
14,AC Siena,38,9,16,13,44:55,-11,43,IT1,2005
15,Chievo Verona,38,11,10,17,32:49,-17,43,IT1,2005
16,ACF Fiorentina,38,9,15,14,42:50,-8,42,IT1,2005
17,Bologna FC 1909,38,9,15,14,33:36,-3,42,IT1,2005
18,Parma FC,38,10,12,16,48:65,-17,42,IT1,2005
19,Brescia Calcio,38,11,8,19,37:54,-17,41,IT1,2005
20,Atalanta BC,38,8,11,19,34:45,-11,35,IT1,2005
