Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Juventus FC,38,28,6,4,70:30,40,90,IT1,2019
2,SSC Napoli,38,24,7,7,74:36,38,79,IT1,2019
3,Atalanta BC,38,20,9,9,77:46,31,69,IT1,2019
4,Inter Milan,38,20,9,9,57:33,24,69,IT1,2019
5,AC Milan,38,19,11,8,55:36,19,68,IT1,2019
6,AS Roma,38,18,12,8,66:48,18,66,IT1,2019
7,Torino FC,38,16,15,7,52:37,15,63,IT1,2019
8,SS Lazio,38,17,8,13,56:46,10,59,IT1,2019
9,UC Sampdoria,38,15,8,15,60:51,9,53,IT1,2019
10,Bologna FC 1909,38,11,11,16,48:56,-8,44,IT1,2019
11,US Sassuolo,38,9,16,13,53:60,-7,43,IT1,2019
12,Udinese Calcio,38,11,10,17,39:53,-14,43,IT1,2019
13,SPAL,38,11,9,18,44:56,-12,42,IT1,2019
14,Parma Calcio 1913,38,10,11,17,41:61,-20,41,IT1,2019
15,Cagliari Calcio,38,10,11,17,36:54,-18,41,IT1,2019
16,ACF Fiorentina,38,8,17,13,47:45,2,41,IT1,2019
17,Genoa CFC,38,8,14,16,39:57,-18,38,IT1,2019
18,Empoli FC ,38,10,8,20,51:70,-19,38,IT1,2019
19,Frosinone Calcio,38,5,10,23,29:69,-40,25,IT1,2019
20,Chievo Verona,38,2,14,22,25:75,-50,17,IT1,2019
