Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Norwich City,46,27,13,6,93:57,36,94,GB2,2019
2,Sheffield United,46,26,11,9,78:41,37,89,GB2,2019
3,Leeds United,46,25,8,13,73:50,23,83,GB2,2019
4,West Bromwich Albion,46,23,11,12,87:62,25,80,GB2,2019
5,Aston Villa,46,20,16,10,82:61,21,76,GB2,2019
6,Derby County,46,20,14,12,69:54,15,74,GB2,2019
7,Middlesbrough FC,46,20,13,13,49:41,8,73,GB2,2019
8,Bristol City,46,19,13,14,59:53,6,70,GB2,2019
9,Nottingham Forest,46,17,15,14,61:54,7,66,GB2,2019
10,Swansea City,46,18,11,17,65:62,3,65,GB2,2019
11,Brentford FC,46,17,13,16,73:59,14,64,GB2,2019
12,Sheffield Wednesday,46,16,16,14,60:62,-2,64,GB2,2019
13,Hull City,46,17,11,18,66:68,-2,62,GB2,2019
14,Preston North End,46,16,13,17,67:67,0,61,GB2,2019
15,Blackburn Rovers,46,16,12,18,64:69,-5,60,GB2,2019
16,Stoke City,46,11,22,13,45:52,-7,55,GB2,2019
17,Birmingham City,46,14,19,13,64:58,6,52,GB2,2019
18,Wigan Athletic,46,13,13,20,51:64,-13,52,GB2,2019
19,Queens Park Rangers,46,14,9,23,53:71,-18,51,GB2,2019
20,Reading FC,46,10,17,19,49:66,-17,47,GB2,2019
21,Millwall FC,46,10,14,22,48:64,-16,44,GB2,2019
22,Rotherham United,46,8,16,22,52:83,-31,40,GB2,2019
23,Bolton Wanderers,46,8,8,30,29:78,-49,32,GB2,2019
24,Ipswich Town,46,5,16,25,36:77,-41,31,GB2,2019
