Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Juventus FC,38,33,3,2,80:23,57,102,IT1,2014
2,AS Roma,38,26,7,5,72:25,47,85,IT1,2014
3,SSC Napoli,38,23,9,6,77:39,38,78,IT1,2014
4,ACF Fiorentina,38,19,8,11,65:44,21,65,IT1,2014
5,FC Internazionale,38,15,15,8,62:39,23,60,IT1,2014
6,Parma FC,38,15,13,10,58:46,12,58,IT1,2014
7,Torino FC,38,15,12,11,58:48,10,57,IT1,2014
8,AC Milan,38,16,9,13,57:49,8,57,IT1,2014
9,SS Lazio,38,15,11,12,54:54,0,56,IT1,2014
10,Hellas Verona,38,16,6,16,62:68,-6,54,IT1,2014
11,Atalanta BC,38,15,5,18,43:51,-8,50,IT1,2014
12,UC Sampdoria,38,12,9,17,48:62,-14,45,IT1,2014
13,Udinese Calcio,38,12,8,18,46:57,-11,44,IT1,2014
14,Genoa CFC,38,11,11,16,41:50,-9,44,IT1,2014
15,Cagliari Calcio,38,9,12,17,34:53,-19,39,IT1,2014
16,Chievo Verona,38,10,6,22,34:54,-20,36,IT1,2014
17,US Sassuolo,38,9,7,22,43:72,-29,34,IT1,2014
18,Calcio Catania,38,8,8,22,34:66,-32,32,IT1,2014
19,Bologna FC 1909,38,5,14,19,28:58,-30,29,IT1,2014
20,AS Livorno,38,6,7,25,39:77,-38,25,IT1,2014
