Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,RC Lens,38,20,8,10,47:35,12,68,FR2,2009
2,Montpellier HSC,38,19,9,10,61:36,25,66,FR2,2009
3,US Boulogne,38,20,6,12,51:36,15,66,FR2,2009
4,RC Strasbourg Alsace,38,18,11,9,57:45,12,65,FR2,2009
5,FC Metz,38,17,12,9,48:35,13,63,FR2,2009
6,Tours FC,38,17,10,11,50:41,9,61,FR2,2009
7,Angers SCO,38,13,14,11,46:42,4,53,FR2,2009
8,Dijon FCO,38,14,10,14,43:46,-3,52,FR2,2009
9,CS Sedan-Ardennes,38,13,12,13,46:49,-3,51,FR2,2009
10,Vannes OC,38,14,9,15,34:45,-11,51,FR2,2009
11,SC Bastia,38,13,9,16,38:47,-9,48,FR2,2009
12,Clermont Foot Auvergne 63,38,12,11,15,46:50,-4,47,FR2,2009
13,EA Guingamp,38,10,16,12,37:35,2,46,FR2,2009
14,Stade Brestois 29,38,13,6,19,45:50,-5,45,FR2,2009
15,LB Châteauroux,38,11,11,16,40:46,-6,44,FR2,2009
16,AC Ajaccio,38,11,11,16,44:56,-12,44,FR2,2009
17,Nîmes Olympique,38,11,11,16,32:46,-14,44,FR2,2009
18,Amiens SC,38,9,16,13,35:40,-5,43,FR2,2009
19,ESTAC Troyes,38,9,11,18,39:48,-9,38,FR2,2009
20,Stade Reims,38,7,15,16,40:51,-11,36,FR2,2009
