Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,AS Nancy-Lorraine,38,21,8,9,54:33,21,71,FR2,2005
2,Le Mans Union Club 72,38,20,8,10,51:30,21,68,FR2,2005
3,ESTAC Troyes,38,20,8,10,61:48,13,68,FR2,2005
4,Dijon FCO,38,14,15,9,44:34,10,57,FR2,2005
5,LB Châteauroux,38,14,15,9,51:43,8,57,FR2,2005
6,CS Sedan-Ardennes,38,16,9,13,38:38,0,57,FR2,2005
7,EA Guingamp,38,15,11,12,53:43,10,56,FR2,2005
8,Montpellier HSC,38,15,10,13,44:39,5,55,FR2,2005
9,Stade Brestois 29,38,13,16,9,38:34,4,55,FR2,2005
10,Grenoble Foot 38,38,12,12,14,45:50,-5,48,FR2,2005
11,FC Gueugnon,38,12,12,14,30:40,-10,48,FR2,2005
12,Amiens SC,38,11,14,13,41:41,0,47,FR2,2005
13,Stade Lavallois,38,13,8,17,43:51,-8,47,FR2,2005
14,FC Lorient,38,13,8,17,44:53,-9,47,FR2,2005
15,US Créteil-Lusitanos,38,11,13,14,42:38,4,46,FR2,2005
16,Stade Reims,38,10,13,15,34:55,-21,43,FR2,2005
17,AC Le Havre,38,11,9,18,28:42,-14,42,FR2,2005
18,Clermont Foot Auvergne,38,8,15,15,34:39,-5,39,FR2,2005
19,Chamois Niortais FC,38,10,8,20,40:52,-12,38,FR2,2005
20,Angers SCO,38,8,14,16,32:44,-12,38,FR2,2005
