Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Olympique Lyon,38,22,13,3,56:22,34,79,FR1,2005
2,LOSC Lille,38,18,13,7,52:29,23,67,FR1,2005
3,AS Monaco,38,15,18,5,52:35,17,63,FR1,2005
4,Stade Rennais FC,38,15,10,13,49:42,7,55,FR1,2005
5,Olympique Marseille,38,15,10,13,47:42,5,55,FR1,2005
6,AS Saint-Étienne,38,12,17,9,47:34,13,53,FR1,2005
7,RC Lens,38,13,13,12,45:39,6,52,FR1,2005
8,AJ Auxerre,38,14,10,14,48:47,1,52,FR1,2005
9,Paris Saint-Germain,38,12,15,11,40:41,-1,51,FR1,2005
10,FC Sochaux-Montbéliard,38,13,11,14,42:41,1,50,FR1,2005
11,RC Strasbourg Alsace,38,12,12,14,42:43,-1,48,FR1,2005
12,OGC Nice,38,10,16,12,38:45,-7,46,FR1,2005
13,FC Toulouse,38,12,10,16,36:43,-7,46,FR1,2005
14,AC Ajaccio,38,10,15,13,36:40,-4,45,FR1,2005
15,FC Girondins Bordeaux,38,8,20,10,37:41,-4,44,FR1,2005
16,FC Metz,38,10,14,14,33:45,-12,44,FR1,2005
17,FC Nantes,38,10,13,15,33:38,-5,43,FR1,2005
18,SM Caen,38,10,12,16,36:60,-24,42,FR1,2005
19,SC Bastia,38,11,8,19,32:48,-16,41,FR1,2005
20,FC Istres Ouest Provence ,38,6,14,18,25:51,-26,32,FR1,2005
