Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,SL Benfica,30,24,4,2,78:20,58,76,PO1,2010
2,SC Braga,30,22,5,3,48:20,28,71,PO1,2010
3,FC Porto,30,21,5,4,70:26,44,68,PO1,2010
4,Sporting CP,30,13,9,8,42:26,16,48,PO1,2010
5,CS Marítimo,30,11,8,11,42:43,-1,41,PO1,2010
6,Vitória Guimarães SC,30,11,8,11,31:34,-3,41,PO1,2010
7,CD Nacional,30,10,9,11,36:46,-10,39,PO1,2010
8,Naval 1º de Maio,30,10,6,14,20:35,-15,36,PO1,2010
9,FC Paços de Ferreira,30,8,11,11,32:37,-5,35,PO1,2010
10,União de Leiria,30,9,8,13,35:41,-6,35,PO1,2010
11,Académica Coimbra,30,8,9,13,37:42,-5,33,PO1,2010
12,Rio Ave FC,30,6,13,11,22:33,-11,31,PO1,2010
13,SC Olhanense,30,5,14,11,31:46,-15,29,PO1,2010
14,Vitória Setúbal FC,30,5,10,15,29:57,-28,25,PO1,2010
15,CF Os Belenenses,30,4,11,15,23:44,-21,23,PO1,2010
16,Leixões SC,30,5,6,19,25:51,-26,21,PO1,2010
