Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Metz,38,22,10,6,54:22,32,76,FR2,2007
2,SM Caen,38,19,14,5,65:40,25,71,FR2,2007
3,RC Strasbourg Alsace,38,19,13,6,47:33,14,70,FR2,2007
4,Amiens SC,38,21,6,11,57:42,15,69,FR2,2007
5,Grenoble Foot 38,38,15,14,9,51:39,12,59,FR2,2007
6,AC Le Havre,38,15,11,12,52:38,14,56,FR2,2007
7,LB Châteauroux,38,15,9,14,42:44,-2,54,FR2,2007
8,Dijon FCO,38,14,12,12,44:47,-3,54,FR2,2007
9,SC Bastia,38,14,11,13,52:49,3,53,FR2,2007
10,FC Gueugnon,38,13,9,16,47:52,-5,48,FR2,2007
11,Stade Reims,38,12,11,15,43:46,-3,47,FR2,2007
12,AC Ajaccio,38,12,11,15,44:50,-6,47,FR2,2007
13,EA Guingamp,38,11,13,14,45:44,1,46,FR2,2007
14,Stade Brestois 29,38,10,15,13,40:40,0,45,FR2,2007
15,Montpellier HSC,38,11,11,16,41:48,-7,44,FR2,2007
16,Chamois Niortais FC,38,10,14,14,36:44,-8,44,FR2,2007
17,FC Libourne-Saint-Seurin,38,12,8,18,43:52,-9,44,FR2,2007
18,US Créteil-Lusitanos,38,9,13,16,33:50,-17,40,FR2,2007
19,FC Istres Ouest Provence ,38,8,11,19,35:63,-28,35,FR2,2007
20,Tours FC,38,6,8,24,30:58,-28,26,FR2,2007
