Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,NEC Nijmegen,38,33,2,3,100:32,68,101,NL2,2015
2,FC Eindhoven,38,26,2,10,70:39,31,80,NL2,2015
3,Roda JC Kerkrade,38,21,6,11,69:58,11,69,NL2,2015
4,FC Emmen,38,19,10,9,88:57,31,67,NL2,2015
5,FC Volendam,38,18,8,12,83:68,15,62,NL2,2015
6,De Graafschap Doetinchem,38,18,7,13,73:49,24,61,NL2,2015
7,VVV-Venlo,38,16,12,10,48:43,5,60,NL2,2015
8,Sparta Rotterdam,38,16,10,12,72:46,26,58,NL2,2015
9,FC Oss,38,17,5,16,73:67,6,56,NL2,2015
10,Almere City FC,38,13,9,16,64:63,1,48,NL2,2015
11,MVV Maastricht,38,14,6,18,51:70,-19,48,NL2,2015
12,Ajax Amsterdam U21,38,12,11,15,64:67,-3,47,NL2,2015
13,FC Twente Enschede U21,38,12,11,15,49:64,-15,47,NL2,2015
14,PSV Eindhoven U21,38,11,13,14,50:56,-6,46,NL2,2015
15,SC Telstar,38,12,6,20,53:68,-15,42,NL2,2015
16,FC Den Bosch,38,10,9,19,46:61,-15,39,NL2,2015
17,Helmond Sport,38,10,8,20,52:85,-33,38,NL2,2015
18,Achilles '29,38,8,9,21,44:71,-27,33,NL2,2015
19,Fortuna Sittard,38,7,8,23,30:72,-42,29,NL2,2015
20,RKC Waalwijk,38,7,8,23,39:82,-43,29,NL2,2015
