Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,SC Cambuur Leeuwarden,29,21,3,5,68:25,43,66,NL2,2020
2,De Graafschap Doetinchem,29,17,11,1,63:28,35,62,NL2,2020
3,FC Volendam,29,16,7,6,57:42,15,55,NL2,2020
4,Ajax Amsterdam U21,29,16,6,7,72:47,25,54,NL2,2020
5,NAC Breda,29,14,8,7,48:30,18,50,NL2,2020
6,Go Ahead Eagles,29,12,12,5,49:41,8,48,NL2,2020
7,Excelsior Rotterdam,29,13,8,8,65:55,10,47,NL2,2020
8,NEC Nijmegen,29,12,9,8,51:37,14,45,NL2,2020
9,Almere City FC,29,13,5,11,44:42,2,44,NL2,2020
10,SC Telstar,29,12,8,9,47:48,-1,44,NL2,2020
11,FC Utrecht U21,29,10,8,11,48:47,1,38,NL2,2020
12,FC Den Bosch,29,10,11,8,56:49,7,35,NL2,2020
13,FC Eindhoven,29,9,7,13,46:59,-13,34,NL2,2020
14,AZ Alkmaar U21,29,7,7,15,45:61,-16,28,NL2,2020
15,MVV Maastricht,29,7,6,16,37:53,-16,27,NL2,2020
16,TOP Oss,29,6,7,16,28:53,-25,25,NL2,2020
17,Roda JC Kerkrade,29,5,10,14,36:52,-16,22,NL2,2020
18,PSV Eindhoven U21,29,5,7,17,34:56,-22,22,NL2,2020
19,FC Dordrecht,29,4,8,17,34:66,-32,20,NL2,2020
20,Helmond Sport,29,3,8,18,25:62,-37,17,NL2,2020
