Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Ajax Amsterdam U21,38,25,4,9,89:54,35,79,NL2,2018
2,Fortuna Sittard,38,24,6,8,81:41,40,78,NL2,2018
3,NEC Nijmegen,38,22,8,8,82:46,36,74,NL2,2018
4,De Graafschap Doetinchem,38,18,11,9,78:47,31,65,NL2,2018
5,PSV Eindhoven U21,38,19,7,12,76:54,22,64,NL2,2018
6,SC Telstar,38,16,13,9,66:63,3,61,NL2,2018
7,FC Emmen,38,14,16,8,58:50,8,58,NL2,2018
8,SC Cambuur Leeuwarden,38,16,10,12,58:53,5,58,NL2,2018
9,Almere City FC,38,15,7,16,70:76,-6,52,NL2,2018
10,MVV Maastricht,38,14,8,16,57:56,1,50,NL2,2018
11,FC Den Bosch,38,12,11,15,59:55,4,47,NL2,2018
12,FC Eindhoven,38,14,5,19,61:83,-22,47,NL2,2018
13,FC Dordrecht,38,14,5,19,57:81,-24,47,NL2,2018
14,FC Volendam,38,13,7,18,59:67,-8,46,NL2,2018
15,FC Oss,38,12,10,16,53:65,-12,46,NL2,2018
16,AZ Alkmaar U21,38,14,4,20,57:70,-13,46,NL2,2018
17,Go Ahead Eagles,38,9,10,19,48:68,-20,37,NL2,2018
18,RKC Waalwijk,38,8,13,17,37:61,-24,37,NL2,2018
19,Helmond Sport,38,9,9,20,50:67,-17,36,NL2,2018
20,FC Utrecht U21,38,7,6,25,37:76,-39,27,NL2,2018
