Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,SL Benfica,34,19,8,7,51:31,20,65,PO1,2005
2,FC Porto,34,17,11,6,39:26,13,62,PO1,2005
3,Sporting CP,34,18,7,9,66:36,30,61,PO1,2005
4,SC Braga,34,16,10,8,45:28,17,58,PO1,2005
5,Vitória Guimarães SC,34,15,9,10,38:29,9,54,PO1,2005
6,Boavista FC,34,13,11,10,39:43,-4,50,PO1,2005
7,CS Marítimo,34,12,13,9,39:32,7,49,PO1,2005
8,Rio Ave FC,34,10,17,7,35:35,0,47,PO1,2005
9,CF Os Belenenses,34,13,7,14,38:34,4,46,PO1,2005
10,Vitória Setúbal FC,34,11,11,12,46:45,1,44,PO1,2005
11,FC Penafiel,34,13,4,17,39:53,-14,43,PO1,2005
12,CD Nacional,34,12,5,17,46:48,-2,41,PO1,2005
13,Gil Vicente FC,34,11,7,16,34:40,-6,40,PO1,2005
14,União de Leiria,34,8,14,12,29:36,-7,38,PO1,2005
15,Académica Coimbra,34,9,11,14,29:41,-12,38,PO1,2005
16,Moreirense FC,34,7,13,14,30:43,-13,34,PO1,2005
17,GD Estoril Praia,34,8,6,20,38:55,-17,30,PO1,2005
18,SC Beira-Mar,34,6,12,16,30:56,-26,30,PO1,2005
