Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,RC Strasbourg Alsace,38,19,10,9,63:47,16,67,FR2,2017
2,Amiens SC,38,19,9,10,56:38,18,66,FR2,2017
3,ESTAC Troyes,38,19,9,10,59:43,16,66,FR2,2017
4,RC Lens,38,18,11,9,59:40,19,65,FR2,2017
5,Stade Brestois 29,38,19,8,11,58:44,14,65,FR2,2017
6,Nîmes Olympique,38,17,13,8,58:40,18,64,FR2,2017
7,Stade Reims,38,14,13,11,42:39,3,55,FR2,2017
8,AC Le Havre,38,14,12,12,39:31,8,54,FR2,2017
9,GFC Ajaccio,38,13,12,13,47:51,-4,51,FR2,2017
10,Chamois Niortais FC,38,12,13,13,45:57,-12,49,FR2,2017
11,AC Ajaccio,38,13,9,16,47:58,-11,48,FR2,2017
12,Clermont Foot 63,38,11,13,14,46:48,-2,46,FR2,2017
13,FC Sochaux-Montbéliard,38,11,13,14,38:43,-5,46,FR2,2017
14,Valenciennes FC,38,10,15,13,44:44,0,45,FR2,2017
15,Football Bourg-en-Bresse Péronnas 01,38,11,11,16,49:58,-9,44,FR2,2017
16,Tours FC,38,10,13,15,55:60,-5,43,FR2,2017
17,AJ Auxerre,38,11,10,17,28:40,-12,43,FR2,2017
18,US Orléans,38,11,9,18,41:54,-13,38,FR2,2017
19,Red Star FC,38,8,12,18,36:56,-20,36,FR2,2017
20,Stade Lavallois,38,5,15,18,33:52,-19,30,FR2,2017
