Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Paris Saint-Germain,38,25,8,5,69:23,46,83,FR1,2013
2,Olympique Marseille,38,21,8,9,42:36,6,71,FR1,2013
3,Olympique Lyon,38,19,10,9,61:38,23,67,FR1,2013
4,OGC Nice,38,18,10,10,57:46,11,64,FR1,2013
5,AS Saint-Étienne,38,16,15,7,60:32,28,63,FR1,2013
6,LOSC Lille,38,16,14,8,59:40,19,62,FR1,2013
7,FC Girondins Bordeaux,38,13,16,9,40:34,6,55,FR1,2013
8,FC Lorient,38,14,11,13,57:58,-1,53,FR1,2013
9,Montpellier HSC,38,15,7,16,54:51,3,52,FR1,2013
10,FC Toulouse,38,13,12,13,49:47,2,51,FR1,2013
11,Valenciennes FC,38,12,12,14,49:53,-4,48,FR1,2013
12,SC Bastia,38,13,8,17,50:66,-16,47,FR1,2013
13,Stade Rennais FC,38,13,7,18,48:59,-11,46,FR1,2013
14,Stade Reims,38,10,13,15,33:42,-9,43,FR1,2013
15,FC Sochaux-Montbéliard,38,10,11,17,41:57,-16,41,FR1,2013
16,FC Évian Thonon Gaillard,38,10,10,18,46:53,-7,40,FR1,2013
17,AC Ajaccio,38,9,15,14,39:51,-12,40,FR1,2013
18,AS Nancy-Lorraine,38,9,11,18,38:58,-20,38,FR1,2013
19,ESTAC Troyes,38,8,13,17,43:61,-18,37,FR1,2013
20,Stade Brestois 29,38,8,5,25,32:62,-30,29,FR1,2013
