Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Bayern Munich,34,24,5,5,75:33,42,77,L1,2005
2,FC Schalke 04,34,20,3,11,56:46,10,63,L1,2005
3,SV Werder Bremen,34,18,5,11,68:37,31,59,L1,2005
4,Hertha BSC,34,15,13,6,59:31,28,58,L1,2005
5,VfB Stuttgart,34,17,7,10,54:40,14,58,L1,2005
6,Bayer 04 Leverkusen,34,16,9,9,65:44,21,57,L1,2005
7,Borussia Dortmund,34,15,10,9,47:44,3,55,L1,2005
8,Hamburger SV,34,16,3,15,55:50,5,51,L1,2005
9,VfL Wolfsburg,34,15,3,16,49:51,-2,48,L1,2005
10,Hannover 96,34,13,6,15,34:36,-2,45,L1,2005
11,1.FSV Mainz 05,34,12,7,15,50:55,-5,43,L1,2005
12,1.FC Kaiserslautern,34,12,6,16,43:52,-9,42,L1,2005
13,Arminia Bielefeld,34,11,7,16,37:49,-12,40,L1,2005
14,1.FC Nuremberg,34,10,8,16,55:63,-8,38,L1,2005
15,Borussia Mönchengladbach,34,8,12,14,35:51,-16,36,L1,2005
16,VfL Bochum,34,9,8,17,47:68,-21,35,L1,2005
17,FC Hansa Rostock,34,7,9,18,31:65,-34,30,L1,2005
18,SC Freiburg,34,3,9,22,30:75,-45,18,L1,2005
