Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,PSV Eindhoven,34,23,6,5,75:25,50,75,NL1,2007
2,Ajax Amsterdam,34,23,6,5,84:35,49,75,NL1,2007
3,AZ Alkmaar,34,21,9,4,83:31,52,72,NL1,2007
4,Twente Enschede FC,34,19,9,6,67:37,30,66,NL1,2007
5,SC Heerenveen,34,16,7,11,60:43,17,55,NL1,2007
6,Roda JC Kerkrade,34,15,9,10,47:36,11,54,NL1,2007
7,Feyenoord Rotterdam,34,15,8,11,56:66,-10,53,NL1,2007
8,FC Groningen,34,15,6,13,54:54,0,51,NL1,2007
9,FC Utrecht,34,13,9,12,41:44,-3,48,NL1,2007
10,NEC Nijmegen,34,12,8,14,36:44,-8,44,NL1,2007
11,NAC Breda,34,12,7,15,43:54,-11,43,NL1,2007
12,Vitesse Arnhem,34,10,8,16,50:55,-5,38,NL1,2007
13,Sparta Rotterdam,34,10,7,17,40:66,-26,37,NL1,2007
14,Heracles Almelo,34,7,11,16,32:64,-32,32,NL1,2007
15,Willem II Tilburg,34,8,7,19,31:64,-33,31,NL1,2007
16,Excelsior Rotterdam,34,8,6,20,43:65,-22,30,NL1,2007
17,RKC Waalwijk,34,6,9,19,33:60,-27,27,NL1,2007
18,ADO Den Haag,34,3,8,23,40:72,-32,17,NL1,2007
