Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Delfino Pescara 1936,42,26,5,11,90:55,35,83,IT2,2012
2,Torino FC,42,24,11,7,57:28,29,83,IT2,2012
3,US Sassuolo,42,22,14,6,57:33,24,80,IT2,2012
4,Hellas Verona,42,23,9,10,60:41,19,78,IT2,2012
5,Varese 1910,42,20,11,11,57:41,16,71,IT2,2012
6,UC Sampdoria,42,17,16,9,53:34,19,67,IT2,2012
7,Calcio Padova,42,18,9,15,56:58,-2,63,IT2,2012
8,Brescia Calcio,42,15,12,15,48:50,-2,57,IT2,2012
9,SS Juve Stabia ,42,16,13,13,53:49,4,57,IT2,2012
10,Reggina Calcio,42,14,13,15,63:59,4,55,IT2,2012
11,FC Crotone,42,13,15,14,60:58,2,52,IT2,2012
12,Modena FC,42,12,16,14,50:58,-8,52,IT2,2012
13,AS Bari,42,14,14,14,47:48,-1,50,IT2,2012
14,US Grosseto FC,42,11,16,15,47:60,-13,49,IT2,2012
15,Ascoli Calcio 1898,42,15,11,16,47:50,-3,49,IT2,2012
16,AS Cittadella,42,13,9,20,51:64,-13,48,IT2,2012
17,AS Livorno,42,12,12,18,49:49,0,48,IT2,2012
18,Empoli FC ,42,12,11,19,48:59,-11,47,IT2,2012
19,Vicenza Calcio,42,10,14,18,43:61,-18,44,IT2,2012
20,ASG Nocerina,42,10,10,22,52:71,-19,40,IT2,2012
21,AS Gubbio 1910,42,7,11,24,37:69,-32,32,IT2,2012
22,UC AlbinoLeffe,42,6,12,24,39:69,-30,30,IT2,2012
