Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,LOSC Lille,38,21,13,4,68:36,32,76,FR1,2011
2,Olympique Marseille,38,18,14,6,62:39,23,68,FR1,2011
3,Olympique Lyon,38,17,13,8,61:40,21,64,FR1,2011
4,Paris Saint-Germain,38,15,15,8,56:41,15,60,FR1,2011
5,FC Sochaux-Montbéliard,38,17,7,14,60:43,17,58,FR1,2011
6,Stade Rennais FC,38,15,11,12,38:35,3,56,FR1,2011
7,FC Girondins Bordeaux,38,12,15,11,43:42,1,51,FR1,2011
8,FC Toulouse,38,14,8,16,38:36,2,50,FR1,2011
9,AJ Auxerre,38,10,19,9,45:41,4,49,FR1,2011
10,AS Saint-Étienne,38,12,13,13,46:47,-1,49,FR1,2011
11,FC Lorient,38,12,13,13,46:48,-2,49,FR1,2011
12,Valenciennes FC,38,10,18,10,45:41,4,48,FR1,2011
13,AS Nancy-Lorraine,38,13,9,16,43:48,-5,48,FR1,2011
14,Montpellier HSC,38,12,11,15,32:43,-11,47,FR1,2011
15,SM Caen,38,11,13,14,46:51,-5,46,FR1,2011
16,Stade Brestois 29,38,11,13,14,36:43,-7,46,FR1,2011
17,OGC Nice,38,11,13,14,33:48,-15,46,FR1,2011
18,AS Monaco,38,9,17,12,36:40,-4,44,FR1,2011
19,RC Lens,38,7,14,17,35:58,-23,35,FR1,2011
20,Athlétic Club Arlésien,38,3,11,24,21:70,-49,20,FR1,2011
