Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Atalanta BC,42,22,13,7,61:35,26,79,IT2,2011
2,AC Siena,42,21,14,7,67:35,32,77,IT2,2011
3,Novara Calcio 1908,42,18,16,8,63:38,25,70,IT2,2011
4,Varese 1910,42,16,20,6,51:34,17,68,IT2,2011
5,Calcio Padova,42,15,17,10,63:48,15,62,IT2,2011
6,Reggina Calcio,42,15,16,11,46:40,6,61,IT2,2011
7,AS Livorno,42,15,14,13,49:46,3,59,IT2,2011
8,Torino FC,42,15,13,14,49:48,1,58,IT2,2011
9,Empoli FC ,42,13,18,11,46:39,7,57,IT2,2011
10,Modena FC,42,12,19,11,46:51,-5,55,IT2,2011
11,FC Crotone,42,13,15,14,45:50,-5,54,IT2,2011
12,Vicenza Calcio,42,15,9,18,44:54,-10,54,IT2,2011
13,Delfino Pescara 1936,42,14,11,17,44:48,-4,53,IT2,2011
14,AS Cittadella,42,12,15,15,50:54,-4,51,IT2,2011
15,US Grosseto FC,42,12,15,15,43:50,-7,51,IT2,2011
16,US Sassuolo,42,13,12,17,42:46,-4,51,IT2,2011
17,Ascoli Calcio 1898,42,14,14,14,44:48,-4,49,IT2,2011
18,UC AlbinoLeffe,42,13,10,19,55:66,-11,49,IT2,2011
19,Piacenza FC,42,11,13,18,50:63,-13,46,IT2,2011
20,US Triestina,42,8,16,18,34:57,-23,40,IT2,2011
21,Calcio Portogruaro-Summaga,42,10,10,22,39:63,-24,40,IT2,2011
22,Frosinone Calcio,42,8,14,20,46:64,-18,38,IT2,2011
