Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Carpi FC 1909,42,22,14,6,59:28,31,80,IT2,2015
2,Frosinone Calcio,42,20,11,11,62:49,13,71,IT2,2015
3,Vicenza Calcio,42,18,14,10,44:37,7,68,IT2,2015
4,Bologna FC 1909,42,17,17,8,49:35,14,68,IT2,2015
5,Spezia Calcio,42,18,13,11,59:40,19,67,IT2,2015
6,AC Perugia Calcio,42,16,18,8,49:40,9,66,IT2,2015
7,Delfino Pescara 1936,42,16,13,13,69:55,14,61,IT2,2015
8,AS Avellino 1912,42,15,14,13,42:42,0,59,IT2,2015
9,AS Livorno,42,15,14,13,57:50,7,59,IT2,2015
10,FC Bari 1908,42,14,12,16,43:49,-6,54,IT2,2015
11,Trapani Calcio,42,13,14,15,56:67,-11,53,IT2,2015
12,Ternana Calcio,42,13,12,17,36:47,-11,51,IT2,2015
13,US Latina Calcio,42,11,17,14,38:41,-3,50,IT2,2015
14,SS Virtus Lanciano,42,10,20,12,49:48,1,50,IT2,2015
15,Calcio Catania,42,12,13,17,59:60,-1,49,IT2,2015
16,FC Pro Vercelli 1892,42,12,13,17,46:57,-11,49,IT2,2015
17,FC Crotone,42,12,12,18,42:52,-10,48,IT2,2015
18,Modena FC,42,10,17,15,37:39,-2,47,IT2,2015
19,Virtus Entella,42,10,17,15,37:52,-15,47,IT2,2015
20,AS Cittadella,42,9,17,16,47:56,-9,44,IT2,2015
21,Brescia Calcio,42,12,12,18,54:63,-9,42,IT2,2015
22,Varese 1910,42,9,12,21,40:67,-27,35,IT2,2015
