Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,SD Huesca,42,21,7,14,55:42,13,70,ES2,2020
2,Cádiz CF,42,19,12,11,50:39,11,69,ES2,2020
3,Real Zaragoza,42,18,11,13,59:53,6,65,ES2,2020
4,UD Almería,42,17,13,12,62:43,19,64,ES2,2020
5,Girona FC,42,17,12,13,48:43,5,63,ES2,2020
6,Elche CF,42,16,13,13,52:44,8,61,ES2,2020
7,Rayo Vallecano,42,13,21,8,60:50,10,60,ES2,2020
8,CF Fuenlabrada,42,15,15,12,47:40,7,60,ES2,2020
9,UD Las Palmas,42,14,15,13,49:46,3,57,ES2,2020
10,AD Alcorcón,42,13,18,11,52:50,2,57,ES2,2020
11,CD Mirandés,42,13,17,12,55:59,-4,56,ES2,2020
12,CD Tenerife,42,14,13,15,50:46,4,55,ES2,2020
13,Sporting Gijón,42,14,12,16,40:38,2,54,ES2,2020
14,Málaga CF,42,11,20,11,35:33,2,53,ES2,2020
15,Real Oviedo,42,13,14,15,49:53,-4,53,ES2,2020
16,CD Lugo,42,12,16,14,43:54,-11,52,ES2,2020
17,Albacete Balompié,42,13,13,16,36:46,-10,52,ES2,2020
18,SD Ponferradina,42,12,15,15,45:50,-5,51,ES2,2020
19,Deportivo de La Coruña,42,12,15,15,43:60,-17,51,ES2,2020
20,CD Numancia,42,13,11,18,45:53,-8,50,ES2,2020
21,Extremadura UD,42,10,13,19,43:59,-16,43,ES2,2020
22,Racing Santander,42,5,18,19,39:56,-17,33,ES2,2020
