Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,GD Estoril Praia,30,16,9,5,40:20,20,57,PO2,2012
2,Moreirense FC,30,15,7,8,47:32,15,52,PO2,2012
3,Desportivo Aves (- 2020),30,12,14,4,38:23,15,50,PO2,2012
4,Naval 1º de Maio,30,12,10,8,40:33,7,46,PO2,2012
5,CF Os Belenenses,30,10,11,9,34:32,2,41,PO2,2012
6,Leixões SC,30,11,7,12,32:34,-2,40,PO2,2012
7,UD Oliveirense,30,10,9,11,39:38,1,39,PO2,2012
8,CD Trofense,30,11,6,13,36:45,-9,39,PO2,2012
9,FC Penafiel,30,10,8,12,33:36,-3,38,PO2,2012
10,CF União Madeira (-2021),30,9,10,11,35:40,-5,37,PO2,2012
11,Atlético CP,30,9,10,11,27:36,-9,37,PO2,2012
12,FC Arouca,30,7,13,10,32:36,-4,34,PO2,2012
13,SC Freamunde,30,7,13,10,35:40,-5,34,PO2,2012
14,CD Santa Clara,30,8,10,12,29:38,-9,34,PO2,2012
15,Portimonense SC,30,8,8,14,35:42,-7,32,PO2,2012
16,SC Covilhã,30,7,11,12,22:29,-7,32,PO2,2012
